product_id,detected_at_utc,detected_at,detection_price,entry_price,target_price,stop_price,outcome,minutes_to_outcome,pnl_pct_after_fees,mfe_pct,mae_pct,rsi,macd_hist,source_file,notes
API3-USD,2025-08-31 01:24:00+00:00,1756603440,1.17,1.17234,1.230957,1.1371698,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
AERO-USD,2025-08-31 01:30:00+00:00,1756603800,1.19482,1.19720964,1.2570701220000002,1.1612933508,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
API3-USD,2025-08-31 01:32:00+00:00,1756603920,1.169,1.171338,1.2299049,1.13619786,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
ALEPH-USD,2025-08-31 01:32:04+00:00,1756603924,0.0801,0.0802602,0.08427321,0.077852394,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
LOKA-USD,2025-08-31 01:33:02+00:00,1756603982,0.1831,0.18346620000000002,0.19263951000000004,0.177962214,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
DIMO-USD,2025-08-31 01:34:00+00:00,1756604040,0.0914,0.09158279999999999,0.09616194,0.08883531599999998,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
ZORA-USD,2025-08-31 01:35:01+00:00,1756604101,0.07911,0.07926822,0.083231631,0.0768901734,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
MAMO-USD,2025-08-31 01:35:57+00:00,1756604157,0.12546,0.12571091999999998,0.13199646599999998,0.12193959239999998,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
IP-USD,2025-08-31 01:36:01+00:00,1756604161,7.964,7.979928,8.3789244,7.74053016,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
LOKA-USD,2025-08-31 01:38:20+00:00,1756604300,0.189,0.189378,0.1988469,0.18369665999999998,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
SAPIEN-USD,2025-08-31 01:41:00+00:00,1756604460,0.1619,0.1622238,0.17033499000000002,0.157357086,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
LOKA-USD,2025-08-31 01:41:23+00:00,1756604483,0.196,0.196392,0.20621160000000002,0.19050024000000002,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
PROVE-USD,2025-08-31 01:44:02+00:00,1756604642,0.9865,0.988473,1.0378966500000002,0.95881881,loss,,,,,,,./data/detections/detections.latest.jsonl,fetch-failed
